Text,Label
"Let's go, Subaru. I want Ram and Rem-san to meet each other soon too.",Emilia
"Uh, uhuh. Right. Yeah, you're right.",Subaru
Barusu.,Ram
The only one to enter the tomb will be Emilia-sama. You are absolutely not going in.,Ram
"This is the CEMETERY... meaning, it's safe to call this the Witch of Greed's tomb, right?",Subaru
"Relax, I hate gettin' tested too. So, well, the TRIAL... I dunno the content.",Garfiel
Hey now.,Subaru
Released... who exactly?,Subaru
Ehh...? 'S sorta like that... maybe?,Garfiel
I had it pretty succinct and you're really saying it's still not good enough?,Subaru
'S 'cause you ain't qualified.,Garfiel
"Waitwaitholdup. So basically, thinking about what you just said, then it'd mean this?",Subaru
"—Yeah, 'guess I didn't tell you.",Garfiel
...Wow. Can I pet you?,Subaru
So this village really is a gathering of demihumans...,Emilia
"Sorry, Ram. Doesn't look like I'll be able to stick by your warning.",Subaru
Whattyou said?,Garfiel
That's somethin' yer'd us'ly say when offerin' yerself up t'go!,Garfiel
"But,",Garfiel
Sorry 'cept I can't go in. Contract.,Garfiel
...Contract?,Subaru
"Yeah, 's a pain. 'N toppa that ain't like I even made it.",Garfiel
Could you wait here for a sec while I go look for Otto?,Subaru
The sun will set while you're off doing that. —It's okay. I'll go.,Emilia
"Like Roswaal... you mean, his wounds were because he went inside?",Subaru
"...Yeah, I'm going in first.",Subaru
"You know, it still does make me happy you're worried for me.",Subaru
What we can do?,Emilia
'Can just spit'n most wounds to heal'em.,Garfiel
—It's a promise.,Emilia
"Um, what do we do with the fingers?",Emilia
Pinky promise if I lie swallow a thousand neeedles.,Subaru
Pinky promised!,Emilia
Seriously can't tell'f yer cool or yer awful.,Garfiel
Just an advocate of cautiousness.,Subaru
"Subaru. If you think it's dangerous, come back straight away.",Emilia
—huh?,Subaru
Wha—!?,Subaru
"Your, castle?",Subaru
"It wasn't good or bad, but what kind of tea was that?",Subaru
What the hell did you just make me drink!?,Subaru
"You didn't say anything so clever, stop smiling!",Subaru
"Um, no!?",Subaru
A dream? I haven't got your face down nearly well enough to be dreaming about it.,Subaru
O-On what basis are you...,Subaru
"...I honestly don't know. But, what you're saying's not wrong.",Subaru
I'm accepting that this is your dream for now at least. So how can I get out?,Subaru
"—! Then, you...",Subaru
Aren't... planning to let me out?,Subaru
With what.,Subaru
You... know the answers to the things I want to know?,Subaru
...Wha?,Subaru
"Eh, uh, ah? Wa, wait. E-Echidna? Where'd she go?",Subaru
...be something you could tell me... what?,Subaru
Nuh?,Subaru
—!?,Subaru
"Uawh, aaaaaaaaaaaaaaah! A-arm... my aaaaaaaaaaaaaarm!?",Subaru
"Wh, what the hell.. a-are you...",Subaru
Pri...!?,Subaru
"Are you, a witch too? That kid before, and Echidna...",Subaru
"Will, my arm and legs... r, return to normal?",Subaru
...Boobs?,Subaru
A-are you crying?,Subaru
Whu?,Subaru
Bhuh—?,Subaru
"Hweh!? Uh, yesmaam!",Subaru
"Are there too. I can stand, walk, moonwalk!",Subaru
"Y-you really helped, thanks. But, just going with the conversation, you'd be...?",Subaru
Really now!,Subaru
"Don't say that like you're gonna kill everybody, it's scary!",Subaru
"No mistake, you are a witch. ...Humans don't think anything like this.",Subaru
"Nothing half-baked, so she's scary when she's mad?",Subaru
"Actually, I've been getting the feeling you're leaving the WITCH OF ENVY out in the cold.",Subaru
"...I feel like I just heard something I really can't let slide but, go on.",Subaru
"It's like you're a rabbit or something, where you can live forever by eating your own crap.",Subaru
Sizeable Hare?,Subaru
"Deterrent? For what pur... no, in opposition to what?",Subaru
As combat power for when the Witch of Envy's unsealed... huh.,Subaru
"Hm? Yeah, I did. Roswaal. What, you know him?",Subaru
"Unsatisfied with using only his own life, he might offer up his whole family's time?",Subaru
Even if it means cheating!,Subaru
But why!,Subaru
"Man, I don't really have much I want to ask you.",Subaru
"Ah, actually now that I think of it I just remembered a question.",Subaru
...s you were doing that would be...,Subaru
"...It doesn't exactly give a good impression, 'test site.' But you aren't denying it.",Subaru
That reminds me... I've heard your name somewhere before I came here.,Subaru
Puck.,Subaru
"—!? Yes, that one! He's a cat spirit. You know Puck?",Subaru
—ddaah!?,Subaru
"...eu, ah?",Subaru
"Yo, u... did, y... poison...",Subaru
"Ta, lking as if, you know...",Subaru
"Witch, Factor...?",Subaru
"When it's ha, rmonized what, ha...",Subaru
"Just, thought this...",Subaru
"What, are—",Subaru
"You said, it doesn't end unless you try to...",Subaru
"Don't just, do these things...!",Subaru
—!?,Subaru
"—Yeah, you really are a witch.",Subaru
"—You're right, is it just me that the way you guessed that was sooo terrifying?",Emilia
"How much of that was imagination, and how much of that was reality?",Subaru
"Ummm,",Subaru
"Mhm, what?",Emilia
I can't describe how sorry I am for making you worry. I got kinda carried away.,Subaru
"Auugh. I was really, really worried. You screamed and fainted right after you went in.",Emilia
"Nevermind the screaming, I fainted?",Subaru
"—Eh? Ohoh, well now ain't you up finally.",Garfiel
Wha—!?,Emilia
"I-I wasn't crying. I mean I was worried and panicked, but I wasn't really...",Emilia
"But it is. If he heard I was worried, that... that I was about to cry, he'd...",Emilia
"...somehow, I just knew you'd react like that.",Emilia
"My bad. Man, ain't this rare. Me sincerely recognizin' my screwups.",Garfiel
I am so sorry for not following your warning!,Subaru
Why couldn't you have just died.,Ram
Too straight!,Subaru
I'm not a masochist. That I keep stepping on landmines is just my nature!,Subaru
"Noooow then,",Roswaal
"Ow. Owie, Emilia-tan.",Subaru
"Your warning made nobody happy, Ram.",Subaru
"Incidentally, Emilia-sama... how was the cemetery?",Roswaal
Garfiel. Have the QUALIFICATIONS been confirmed?,Roswaal
The cemetery's lights?,Subaru
"Mischief, suuuuch as?",Roswaal
Pissing across the tomb's entrance or something. That'd get the cemetary's manager mad.,Subaru
"Buuuuut,",Roswaal
...Mana Gate frenzy.,Emilia
"Correct. Aaaand when you're me... well, it's a miiiiiracle I didn't burst.",Roswaal
"I, I mean yes, but... Doesn't that judgement of yourself hurt?",Emilia
After the Royal Selection's over and things've calmed down I'll think over it for you.,Emilia
So at least three years away!?,Subaru
"But,",Subaru
Being?,Subaru
It is a simple question. —Will you be willing to take the TRIAL?,Roswaal
Ain't the amazin' me. 'S this old hag.,Garfiel
"Uhmm, I think he uses 'loli' a lot with Beatrice... it means small, right?",Emilia
"By the way,",Subaru
Contracts again...,Subaru
"I'm the only one who can do it, is what it is.",Emilia
"No one at all until now? I'm terrified to ask but, Lewes how old are you.",Subaru
"Way more than enough! You're the oldest person I've met until now, at least.",Subaru
"Anyway, I understand the circumstances.",Emilia
I think it's sooo not good to rain on people's parades when they're motivated.,Emilia
"I have no idea that means. Subaru, sometimes you say things that're sooo bamboozling.",Emilia
Who says bamboozling anymore?,Subaru
"Nonono,",Subaru
"Set up, by who.",Emilia
Who? There's only one person who coulda.,Subaru
You!,Subaru
Ehh? My amazin' self?,Garfiel
"Er, no, sorry, I turned too far. Thiswaythiswaythisway—there, you, Roswaal.",Subaru
Nooooothing could've been sloppier.,Roswaal
"You know, I think I've got it.",Subaru
"That's... correct. Mhm, you're right.",Roswaal
"Myyyy gooooodness. Iiiiis this the image of me that's inside you, Subaru-kun?",Roswaal
"Meaning,",Subaru
Ain't it obvious?,Garfiel
And your problems are of course...,Subaru
"That we can't leave Sanctuary fer the outside werld, 'd be it.",Lewes
Me. —That's what's happening here.,Emilia
"You haven't done anything bad to the villagers, have you?",Emilia
Yoooou don't look satisfied.,Roswaal
"I forgot to mention this, but about the motive behind those injuries.",Subaru
"Mmhm mmhm, do go on. Iiiiii won't be grading you.",Roswaal
"It's a performance. No, it's an opening gambit.",Subaru
Hmm. Aaaaand what happens then?,Roswaal
"Lovely, thanks. Makes me wanna puke.",Subaru
"...Almost, the correct answer. That waaaasn't the only reason I entered the cemetery.",Roswaal
"It seems you don't quite understand the weight of Roswaal-sama's thanks, Barusu.",Ram
Roswaal-sama.,Ram
